Hijri Year,Hijri Month,Gregorian Date
1496,4,2073-04-09
1496,5,2073-05-09
1496,6,2073-06-07
1496,7,2073-07-07
1496,8,2073-08-05
1496,9,2073-09-03
1496,10,2073-10-03
1496,11,2073-11-01
1496,12,2073-12-01
1497,1,2073-12-30
1497,2,2074-01-29
1497,3,2074-02-27
1497,4,2074-03-29
1497,5,2074-04-28
1497,6,2074-05-27
1497,7,2074-06-26
1497,8,2074-07-26
1497,9,2074-08-24
1497,10,2074-09-22
1497,11,2074-10-22
1497,12,2074-11-20
1498,1,2074-12-20
1498,2,2075-01-18
1498,3,2075-02-17
1498,4,2075-03-18
1498,5,2075-04-17
1498,6,2075-05-16
1498,7,2075-06-15
1498,8,2075-07-15
1498,9,2075-08-13
1498,10,2075-09-12
1498,11,2075-10-11
1498,12,2075-11-10
1499,1,2075-12-09
1499,2,2076-01-08
1499,3,2076-02-06
1499,4,2076-03-07
1499,5,2076-04-05
1499,6,2076-05-05
1499,7,2076-06-03
1499,8,2076-07-03
1499,9,2076-08-01
1499,10,2076-08-31
1499,11,2076-09-30
1499,12,2076-10-29
1500,1,2076-11-28
1500,2,2076-12-27
1500,3,2077-01-26
1500,4,2077-02-24
1500,5,2077-03-26
1500,6,2077-04-24
1500,7,2077-05-24
1500,8,2077-06-22
1500,9,2077-07-21
1500,10,2077-08-20
1500,11,2077-09-19
1500,12,2077-10-18
